iter	MultiClass
0	1.586041024
1	1.445782663
2	1.336341741
3	1.251981224
4	1.176677344
5	1.114799533
6	1.06554716
7	1.017726842
8	0.9784138455
9	0.9411452032
10	0.9093913719
11	0.8807452611
12	0.8573543891
13	0.835417632
14	0.8146398076
15	0.79690238
16	0.7805952947
17	0.7662358219
18	0.7522377386
19	0.7394175614
20	0.7275699561
21	0.7154303211
22	0.7066304446
23	0.6971835709
24	0.6894007772
25	0.6808535098
26	0.674143984
27	0.6682750238
28	0.6626215288
29	0.6584082573
30	0.6534374818
31	0.6485194877
32	0.6435020565
33	0.6402245241
34	0.6363832045
35	0.6314328572
36	0.6270769004
37	0.6240979537
38	0.6204419285
39	0.6166354531
40	0.613487214
41	0.6106912759
42	0.6084337112
43	0.6056946816
44	0.6029401585
45	0.5997502585
46	0.5972572939
47	0.5957180475
48	0.5940567618
49	0.5920928895
50	0.5909113365
51	0.5895914376
52	0.5882470508
53	0.5869270648
54	0.5842159287
55	0.5819456649
56	0.5808815694
57	0.5799206261
58	0.5783286471
59	0.5764858406
60	0.5750004682
61	0.5732761568
62	0.5724285561
63	0.5715569245
64	0.5707898556
65	0.5695445537
66	0.5677082604
67	0.5665545736
68	0.5657168395
69	0.5644261809
70	0.5624159754
71	0.5608259931
72	0.5596982272
73	0.5585975807
74	0.5581545848
75	0.5566368454
76	0.5559381863
77	0.5551942429
78	0.554135877
79	0.5534556122
80	0.5528468053
81	0.5515496912
82	0.5505834113
83	0.5498171113
84	0.5486953644
85	0.5472709888
86	0.5463108305
87	0.5457717181
88	0.5443423602
89	0.543499127
90	0.5428893119
91	0.542137075
92	0.5409414678
93	0.5400506782
94	0.5390596203
95	0.5381472972
96	0.5373146359
97	0.5367618746
98	0.5361812956
99	0.5352755174
100	0.5345744654
101	0.5341605802
102	0.5333609133
103	0.5324126857
104	0.5316117043
105	0.5310592668
106	0.5305069881
107	0.5298340717
108	0.5290788486
109	0.5280173502
110	0.5271931052
111	0.5268685205
112	0.5263105602
113	0.5253558481
114	0.5248448051
115	0.524081244
116	0.5233497627
117	0.5223671568
118	0.5215598061
119	0.5208027131
120	0.5204437827
121	0.5198129841
122	0.5191837148
123	0.5185389209
124	0.5180968223
125	0.5172888088
126	0.5168285971
127	0.5165997016
128	0.5160025084
129	0.5153513031
130	0.5147378029
131	0.5141598882
132	0.5132975034
133	0.5128437765
134	0.5123738953
135	0.511741835
136	0.5111478899
137	0.5108425403
138	0.5103107421
139	0.5095407046
140	0.5090965562
141	0.5084735089
142	0.5078329887
143	0.5073399266
144	0.5067798942
145	0.5061017396
146	0.5054938161
147	0.5051516991
148	0.5048905873
149	0.5040560441
150	0.5036357729
151	0.5033093536
152	0.502969207
153	0.5024069442
154	0.5015881298
155	0.5010874913
156	0.5004590393
157	0.4999921766
158	0.4995321328
159	0.4991570354
160	0.4986078213
161	0.4983348413
162	0.4978708034
163	0.4973866799
164	0.496780893
165	0.4962216358
166	0.4955788627
167	0.4953216415
168	0.495051367
169	0.4945524893
170	0.4942120253
171	0.4939667315
172	0.4935080194
173	0.4933015249
174	0.4930955291
175	0.4926414516
176	0.4920331008
177	0.4917998108
178	0.4913822662
179	0.4907940491
180	0.4904955817
181	0.4900795219
182	0.4897382204
183	0.4893591455
184	0.4889338362
185	0.4882616605
186	0.4876362399
187	0.4873101351
188	0.4868226948
189	0.4863818247
190	0.4859057986
191	0.4854253626
192	0.4849207028
193	0.4846495826
194	0.4841562274
195	0.4836858695
196	0.483140247
197	0.482831103
198	0.4825610595
199	0.482345366
200	0.4818809691
201	0.4816042032
202	0.481129259
