iter	Passed	Remaining
0	119	118940
1	140	70265
2	162	53992
3	184	45839
4	210	41830
5	230	38249
6	254	36158
7	276	34323
8	298	32881
9	320	31725
10	339	30512
11	360	29670
12	379	28775
13	401	28285
14	422	27758
15	443	27268
16	464	26842
17	483	26402
18	506	26174
19	526	25794
20	545	25442
21	565	25124
22	586	24897
23	605	24628
24	625	24402
25	646	24216
26	666	24008
27	684	23770
28	703	23567
29	724	23414
30	745	23291
31	764	23121
32	784	22983
33	805	22882
34	824	22724
35	844	22617
36	865	22514
37	882	22332
38	898	22133
39	918	22035
40	940	21996
41	960	21917
42	979	21793
43	999	21706
44	1019	21627
45	1040	21570
46	1060	21496
47	1079	21403
48	1098	21314
49	1118	21250
50	1136	21151
51	1155	21061
52	1173	20972
53	1197	20970
54	1218	20928
55	1235	20822
56	1255	20769
57	1273	20686
58	1293	20624
59	1311	20552
60	1330	20480
61	1350	20424
62	1368	20350
63	1386	20283
64	1405	20219
65	1425	20169
66	1444	20110
67	1462	20049
68	1481	19986
69	1499	19918
70	1519	19877
71	1540	19850
72	1560	19822
73	1579	19768
74	1595	19682
75	1615	19642
76	1634	19591
77	1653	19546
78	1671	19483
79	1688	19422
80	1706	19366
81	1726	19329
82	1746	19300
83	1767	19269
84	1788	19247
85	1808	19221
86	1828	19188
87	1845	19124
88	1864	19083
89	1883	19046
90	1904	19019
91	1922	18974
92	1940	18929
93	1960	18891
94	1981	18878
95	1998	18819
96	2018	18791
97	2038	18762
98	2060	18749
99	2080	18723
100	2098	18679
101	2117	18641
102	2137	18614
103	2156	18577
104	2177	18556
105	2198	18544
106	2218	18515
107	2237	18484
108	2257	18456
109	2276	18417
110	2294	18378
111	2313	18343
112	2333	18319
113	2354	18297
114	2372	18255
115	2391	18224
116	2411	18200
117	2432	18183
118	2451	18152
119	2472	18129
120	2491	18101
121	2511	18074
122	2532	18054
123	2552	18030
124	2570	17996
125	2590	17966
126	2608	17932
127	2626	17891
128	2645	17860
129	2664	17829
